time_rel(sec),velocity(m/s)
0,-6.15E-14
0.150943396,-7.70E-14
0.301886792,-8.40E-14
0.452830189,-8.10E-14
0.603773585,-7.10E-14
0.754716981,-5.88E-14
0.905660377,-4.80E-14
1.056603774,-3.91E-14
1.20754717,-3.04E-14
1.358490566,-2.03E-14
1.509433962,-8.59E-15
1.660377358,3.05E-15
1.811320755,1.26E-14
1.962264151,1.90E-14
2.113207547,2.28E-14
2.264150943,2.54E-14
2.41509434,2.79E-14
2.566037736,3.02E-14
2.716981132,3.16E-14
2.867924528,3.12E-14
3.018867925,2.90E-14
3.169811321,2.59E-14
3.320754717,2.28E-14
3.471698113,2.02E-14
3.622641509,1.78E-14
3.773584906,1.52E-14
3.924528302,1.22E-14
4.075471698,8.80E-15